Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
AAMC,Altisource Asset Management Corp Com,$2.17,-0.135,-5.857%,5543291.00,United States,,10542,Finance,Real Estate
ACU,Acme United Corporation. Common Stock,$33.78,0.08,0.237%,123698306.00,United States,1988,38847,Consumer Discretionary,Industrial Machinery/Components
ADRT,Ault Disruptive Technologies Corporation Common Stock,$19.35,-1.66,-7.901%,278156250.00,,2022,18680,Finance,Blank Checks
AE,Adams Resources & Energy Inc. Common Stock,$25.45,-0.15,-0.586%,65332797.00,United States,1980,1713,Energy,Oil Refining/Marketing
AEF,abrdn Emerging Markets Equity Income Fund Inc. Common Stock,$5.28,-0.01,-0.189%,566874000.00,United States,,28370,Finance,Finance/Investors Services
AEON,AEON Biopharma Inc. Class A Common Stock,$1.55,0.16,11.511%,60639469.00,United States,,63037,Health Care,Biotechnology: Pharmaceutical Preparations
AIM,AIM ImmunoTech Inc. Common Stock,$0.4251,-0.0239,-5.323%,21799739.00,United States,1997,188222,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
AINC,Ashford Inc. (Holding Company) Common Stock,$4.86,-0.02,-0.41%,16672230.00,United States,2014,11036,Consumer Discretionary,Professional Services
AIRI,Air Industries Group Common Stock,$3.16,-0.17,-5.105%,10506321.00,United States,,21636,Industrials,Military/Government/Technical
AMBI,Ambipar Emergency Response Class A Ordinary Shares,$4.04,0.05,1.253%,223936598.00,,,1268,Industrials,Environmental Services
AMBO,Ambow Education Holding Ltd. American Depository Shares (each representing twenty (20) Class A Ordinary Shares),$1.30,0.00,0.00%,3713289.00,China,,273,Real Estate,Other Consumer Services
AMS,American Shared Hospital Services Common Stock,$3.24,0.0799,2.528%,20509200.00,United States,1988,3139,Health Care,Medical Specialities
APT,Alpha Pro Tech Ltd. Common Stock,$5.34,0.44,8.98%,62417658.00,Canada,2000,219021,,
AREN,The Arena Group Holdings Inc. Common Stock,$0.9016,0.0416,4.837%,26687300.00,United States,2022,6853,Technology,EDP Services
ARMN,Aris Mining Corporation Common Shares,$3.84,0.01,0.261%,584278153.00,,2023,358613,,
ARMP,Armata Pharmaceuticals Inc. Common Stock,$2.85,0.15,5.556%,103040658.00,United States,,4073,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
ASM,Avino Silver & Gold Mines Ltd. Common Shares (Canada),$0.87,-0.017,-1.917%,115769338.00,Canada,,921903,Basic Materials,Metal Mining
ASXC,Asensus Surgical Inc. Common Stock,$0.3322,0.0022,0.667%,90468582.00,United States,,1845707,Health Care,Medical/Dental Instruments
ATCH,AtlasClear Holdings Inc. Common Stock,$1.13,0.00,0.00%,14074327.00,,2024,7140,Finance,Finance: Consumer Services
ATEK,Athena Technology Acquisition Corp. II Class A Common Stock,$11.25,-0.05,-0.442%,0.00,,2022,2370,Finance,Blank Checks
ATNM,Actinium Pharmaceuticals Inc. (Delaware) Common Stock,$7.93,0.11,1.407%,236182766.00,United States,,242377,Health Care,Biotechnology: Pharmaceutical Preparations
AULT,Ault Alliance Inc. Common Stock,$0.2765,-0.0234,-7.803%,8313066.00,United States,1997,1453504,Technology,Industrial Machinery/Components
AULT^D,Ault Alliance Inc. 13.00% Series D Cumulative Redeemable Perpetual Preferred Stock,$25.31,-0.71,-2.729%,,United States,,830,,
AUMN,Golden Minerals Company Common Stock,$0.429,-0.031,-6.739%,6253183.00,United States,,29859,Basic Materials,Precious Metals
AUST,Austin Gold Corp. Common Shares,$0.7905,-0.0628,-7.36%,10491318.00,,2022,25838,Basic Materials,Precious Metals
AWX,Avalon Holdings Corporation Common Stock,$2.3501,0.00,0.00%,9164053.00,United States,1998,246,Utilities,Environmental Services
AXIL,AXIL Brands Inc. Common Stock,$10.67,-0.71,-6.239%,62728279.00,,2024,5560,Consumer Discretionary,Package Goods/Cosmetics
AZTR,Azitra Inc Common Stock,$0.2337,0.0844,56.53%,6731645.00,,2023,27624434,Health Care,Biotechnology: Pharmaceutical Preparations
BACA,Berenson Acquisition Corp. I Class A Common Stock,$10.62,-0.01,-0.094%,0.00,,2021,217,Finance,Blank Checks
BATL,Battalion Oil Corporation Common Stock,$4.49,-0.03,-0.664%,73889968.00,United States,,6112,Energy,Oil & Gas Production
BCV,Bancroft Fund Ltd.,$15.39,-0.08,-0.517%,0.00,United States,1972,10059,Finance,Finance/Investors Services
BCV^A,Bancroft Fund Limited 5.375% Series A Cumulative Preferred Shares,$22.84,0.153,0.674%,,United States,,11841,,
BDL,Flanigan's Enterprises Inc. Common Stock,$26.0699,0.5699,2.235%,48454741.00,United States,1972,3126,Consumer Discretionary,Restaurants
BEEP,Mobile Infrastructure Corporation Common Stock,$3.53,-0.03,-0.843%,0.00,,2023,67776,Finance,Blank Checks
BGI,Birks Group Inc. Common Stock,$2.5699,0.0098,0.383%,28191803.00,Canada,,8292,Consumer Discretionary,Consumer Specialties
BHB,Bar Harbor Bankshares Inc. Common Stock,$25.67,0.38,1.503%,391016350.00,United States,1997,14980,Finance,Major Banks
BHM,Bluerock Homes Trust Inc. Class A Common Stock,$17.37,-0.27,-1.531%,68754577.00,,2022,2701,Real Estate,Real Estate Investment Trusts
BITE,Bite Acquisition Corp. Common Stock,$9.38,0.74,8.565%,0.00,,2021,6176,Finance,Blank Checks
BKTI,BK Technologies Corporation Common Stock,$13.66,0.10,0.737%,48215866.00,United States,,13689,Technology,Radio And Television Broadcasting And Communications Equipment
BLUA,BlueRiver Acquisition Corp. Class A Ordinary Shares,$11.14,0.00,0.00%,0.00,,2021,99,Finance,Blank Checks
BMTX,BM Technologies Inc. Common Stock,$2.76,-0.37,-11.821%,33265066.00,,2018,144140,Technology,EDP Services
BQ,Boqii Holding Limited American Depositary Shares representing Class A Ordinary Shares,$0.49,-0.046,-8.582%,3188997.00,,2020,1951094,Consumer Discretionary,Other Specialty Stores
BRBS,Blue Ridge Bankshares Inc. Common Stock,$2.94,-0.03,-1.01%,67568909.00,United States,,123168,Finance,Major Banks
BRN,Barnwell Industries Inc. Common Stock,$2.5089,0.0089,0.356%,25159475.00,United States,1965,5563,Energy,Oil & Gas Production
BTG,B2Gold Corp Common shares (Canada),$2.54,-0.07,-2.682%,3318745240.00,Canada,,10902821,Basic Materials,Precious Metals
BTTR,Better Choice Company Inc. Common Stock,$3.68,0.17,4.843%,3288455.00,,2021,266106,Consumer Staples,Beverages (Production/Distribution)
CANF,Can-Fite Biopharma Ltd Sponsored ADR (Israel),$3.21,-0.14,-4.179%,14550259.00,Israel,,134477,Health Care,Biotechnology: Pharmaceutical Preparations
CATX,Perspective Therapeutics Inc. Common Stock,$10.34,-0.36,-3.364%,6437984253.00,United States,,1591047,Health Care,Medical/Dental Instruments
CCEL,Cryo-Cell International Inc. Common Stock,$8.29,0.03,0.363%,67186114.00,United States,2022,11327,Health Care,Misc Health and Biotechnology Services
CEI,Camber Energy Inc. Common Stock,$0.132,-0.0104,-7.303%,23205662.00,United States,,8868975,Energy,Oil & Gas Production
CET,Central Securities Corporation Common Stock,$43.55,0.14,0.323%,10540197460.00,United States,1951,16072,Finance,Finance/Investors Services
CEV,Eaton Vance California Municipal Income Trust Shares of Beneficial Interest,$10.94,-0.01,-0.091%,76947311.00,United States,1999,12195,Finance,Investment Managers
CHAA,Catcha Investment Corp. Class A Ordinary Shares,$11.20,-0.57,-4.843%,0.00,,2021,23513,Finance,Blank Checks
CHRO,Chromocell Therapeutics Corporation Common Stock,$1.26,-0.04,-3.077%,7266047.00,,2024,3452,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CIK,Credit Suisse Asset Management Income Fund Inc. Common Stock,$3.04,0.03,0.997%,0.00,United States,,193238,Finance,Finance/Investors Services
CIX,CompX International Inc. Common Stock,$22.00,-1.58,-6.701%,270902654.00,United States,1998,47969,Consumer Discretionary,Industrial Machinery/Components
CKX,CKX Lands Inc. Common Stock,$13.775,-0.125,-0.899%,27922366.00,United States,2003,693,Energy,Oil & Gas Production
CLDI,Calidi Biotherapeutics Inc. Common Stock,$0.195,-0.009,-4.412%,9930235.00,,2021,1199602,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CLM,Cornerstone Strategic Value Fund Inc. New Common Stock,$7.52,0.03,0.401%,0.00,United States,2003,1488813,Finance,Finance/Investors Services
CMCL,Caledonia Mining Corporation Plc Common Shares,$10.24,0.48,4.918%,196485868.00,Canada,,71382,Basic Materials,Precious Metals
CMT,Core Molding Technologies Inc Common Stock,$16.69,0.39,2.393%,152624042.00,United States,1996,29064,Industrials,Plastic Products
CNDA,Concord Acquisition Corp II Class A Common Stock,$10.55,0.00,0.00%,0.00,,2021,324,Finance,Blank Checks
COE,51Talk Online Education Group American depositary shares each representing 60 Class A ordinary shares,$8.40,0.70,9.091%,48062028.00,China,2016,29308,Real Estate,Other Consumer Services
COHN,Cohen & Company Inc.,$9.68,0.40,4.31%,18651792.00,United States,,6439,Finance,Investment Bankers/Brokers/Service
CPHI,China Pharma Holdings Inc. Common Stock,$0.2498,-0.0081,-3.141%,3964343.00,China,,133010,Health Care,Biotechnology: Pharmaceutical Preparations
CRF,Cornerstone Total Return Fund Inc. (The) Common Stock,$7.64,0.02,0.262%,0.00,United States,2003,513911,Finance,Finance/Investors Services
CTGO,Contango ORE Inc. Common Stock,$18.83,0.07,0.373%,181364610.00,United States,2021,85378,Basic Materials,Precious Metals
CTM,Castellum Inc. Common Stock,$0.1852,0.0022,1.202%,9821140.00,,2022,157866,Consumer Discretionary,Professional Services
CVM,Cel-Sci Corporation Common Stock,$1.25,-0.05,-3.846%,67699921.00,United States,1997,207046,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
CVR,Chicago Rivet & Machine Co. Common Stock,$15.07,-0.43,-2.774%,14559609.00,United States,1930,1353,Industrials,Industrial Machinery/Components
CVU,CPI Aerostructures Inc. Common Stock,$2.30,-0.01,-0.433%,29570123.00,United States,2022,22860,Industrials,Military/Government/Technical
CYBN,Cybin Inc. Common Shares,$0.2718,-0.0174,-6.017%,206484420.00,Canada,,4205981,Health Care,Pharmaceuticals and Biotechnology
DC,Dakota Gold Corp. Common Stock,$2.38,-0.21,-8.108%,208745695.00,United States,2022,273730,Basic Materials,Metal Mining
DDC,DDC Enterprise Limited Class A Ordinary Shares,$1.02,-0.18,-15.00%,20321529.00,,2023,663864,Consumer Staples,Packaged Foods
DHY,Credit Suisse High Yield Bond Fund Common Stock,$2.06,0.00,0.00%,0.00,United States,1998,164980,Finance,Finance/Investors Services
DIT,AMCON Distributing Company Common Stock,$130.00,-7.88,-5.715%,81947060.00,United States,1999,562,Consumer Discretionary,Food Distributors
DLA,Delta Apparel Inc. Common Stock,$1.07,0.03,2.885%,7544734.00,United States,2000,8969,Consumer Staples,Apparel
DMF,BNY Mellon Municipal Income Inc. Common Stock,$6.97,0.02,0.288%,434167252.00,United States,1988,38448,Finance,Finance/Investors Services
DNN,Denison Mines Corp Ordinary Shares (Canada),$2.06,0.00,0.00%,1838052028.00,Canada,,14415116,,
DPSI,DecisionPoint Systems Inc. Common Stock,$10.19,0.02,0.197%,78269390.00,,2022,57730,Technology,Computer Software: Programming Data Processing
DSS,DSS Inc. Common Stock,$1.6096,-0.0201,-1.233%,11374676.00,United States,,17007,Consumer Discretionary,Containers/Packaging
DXF,Dunxin Financial Holdings Limited American Depositary Shares,$0.2598,0.0375,16.869%,5815566.00,China,,4726126,Finance,Finance: Consumer Services
EAD,Allspring Income Opportunities Fund Common Shares,$6.62,-0.03,-0.451%,0.00,United States,2003,149964,Finance,Finance/Investors Services
ECF,Ellsworth Growth and Income Fund Ltd.,$8.1931,0.0081,0.099%,0.00,United States,1986,34555,Finance,Finance/Investors Services
ECF^A,Ellsworth Growth and Income Fund Ltd. 5.25% Series A Cumulative Preferred Shares (Liquidation Preference $25.00 per share),$21.9501,0.0801,0.366%,,United States,,200,,
EFSH,1847 Holdings LLC Common Shares,$0.3241,-0.0329,-9.216%,1715413.00,,2022,436794,Consumer Discretionary,Professional Services
EIM,Eaton Vance Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$10.62,0.01,0.094%,0.00,United States,2002,124800,Finance,Finance/Investors Services
ELA,Envela Corporation Common Stock,$4.64,0.06,1.31%,121922621.00,United States,,26749,Consumer Discretionary,Consumer Specialties
ELLO,Ellomay Capital Ltd Ordinary Shares (Israel),$12.71,-0.78,-5.782%,163356355.00,Israel,,1358,Utilities,Electric Utilities: Central
ELMD,Electromed Inc. Common Stock,$14.50,-0.02,-0.138%,125508042.00,United States,2011,20554,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
EMX,EMX Royalty Corporation Common Shares (Canada),$1.82,0.01,0.552%,205143964.00,Canada,,350477,Basic Materials,Metal Mining
ENSV,Enservco Corporation Common Stock,$0.2215,0.0075,3.505%,6121485.00,United States,,313876,Energy,Oilfield Services/Equipment
ENX,Eaton Vance New York Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.84,-0.06,-0.606%,0.00,United States,2002,6541,Finance,Finance/Investors Services
EP,Empire Petroleum Corporation Common Stock,$5.88,0.11,1.906%,178639727.00,United States,2022,38769,Energy,Oil & Gas Production
EPM,Evolution Petroleum Corporation Inc. Common Stock,$5.35,0.08,1.518%,178463331.00,United States,,236809,Energy,Oil & Gas Production
EQX,Equinox Gold Corp. Common Shares,$5.32,0.16,3.101%,2279088000.00,Canada,,3458174,Basic Materials,Precious Metals
ERC,Allspring Multi-Sector Income Fund Common Stock,$8.955,0.015,0.168%,0.00,United States,2003,65611,Finance,Finance/Investors Services
ERH,Allspring Utilities and High Income Fund Common Shares,$9.7431,-0.0869,-0.884%,0.00,,2004,21116,Finance,Finance/Investors Services
ESP,Espey Mfg. & Electronics Corp. Common Stock,$24.16,0.30,1.257%,66023530.00,United States,1960,3136,Technology,Industrial Machinery/Components
EVBN,Evans Bancorp Inc. Common Stock,$27.07,0.35,1.31%,149453714.00,United States,,18982,Finance,Major Banks
EVE,EVe Mobility Acquisition Corp Class A Ordinary Shares,$11.04,0.03,0.272%,0.00,,2022,862,Finance,Blank Checks
EVI,EVI Industries Inc.  Common Stock,$18.20,0.46,2.593%,230793417.00,United States,1999,13746,Consumer Discretionary,Other Consumer Services
EVM,Eaton Vance California Municipal Bond Fund Common Shares of Beneficial Interest $.01 par value,$9.54,-0.03,-0.313%,0.00,United States,2002,44739,Finance,Finance/Investors Services
EVV,Eaton Vance Limited Duration Income Fund Common Shares of Beneficial Interest,$9.74,-0.01,-0.103%,0.00,United States,2003,205077,Finance,Finance/Investors Services
FAX,abrdn Asia-Pacific Income Fund Inc. Common Stock,$2.70,0.04,1.504%,0.00,United States,1986,405303,Finance,Investment Managers
FCO,abrdn Global Income Fund Inc. Common Stock,$5.95,0.09,1.536%,0.00,United States,1992,53195,Finance,Investment Managers
FLYX,flyExclusive Inc. Class A Common Stock,$4.25,-0.11,-2.523%,330743589.00,,2023,13081,Consumer Discretionary,Transportation Services
FOXO,FOXO Technologies Inc. Class A Common Stock,$0.2574,-0.0316,-10.934%,2745752.00,,2022,2588966,Finance,Life Insurance
FRD,Friedman Industries Inc. Common Stock,$16.21,-0.65,-3.855%,112978756.00,United States,1975,27832,Industrials,Steel/Iron Ore
FSI,Flexible Solutions International Inc. Common Stock (CDA),$1.83,-0.14,-7.107%,22784474.00,Canada,2002,88575,Consumer Discretionary,Recreational Games/Products/Toys
FSP,Franklin Street Properties Corp. Common Stock,$1.66,0.01,0.606%,171694386.00,United States,,956869,Real Estate,Real Estate Investment Trusts
FTF,Franklin Limited Duration Income Trust Common Shares of Beneficial Interest,$6.37,0.04,0.632%,257382232.00,United States,2003,245672,Finance,Finance/Investors Services
FURY,Fury Gold Mines Limited Common Shares,$0.40,-0.022,-5.213%,58430841.00,,2020,240900,Basic Materials,Precious Metals
GAU,Galiano Gold Inc.,$1.56,0.00,0.00%,396439866.00,Canada,,979839,,
GBR,New Concept Energy Inc Common Stock,$1.45,0.03,2.113%,7441304.00,United States,1993,6085,Energy,Oil & Gas Production
GENC,Gencor Industries Inc. Common Stock,$19.25,0.51,2.721%,282160764.00,United States,,14409,Industrials,Construction/Ag Equipment/Trucks
GGN,GAMCO Global Gold Natural Resources & Income Trust,$4.00,-0.02,-0.498%,0.00,United States,2005,212551,Finance,Finance/Investors Services
GGN^B,GAMCO Global Gold Natural Reources & Income Trust 5.00% Series B Cumulative 25.00 Liquidation Preference,$21.10,-0.03,-0.142%,,United States,,10612,,
GLDG,GoldMining Inc. Common Shares,$0.9118,-0.0002,-0.022%,167625748.00,,,387667,Basic Materials,Precious Metals
GLO,Clough Global Opportunities Fund Common Stock,$5.26,0.04,0.766%,0.00,United States,2006,115316,Finance,Finance/Investors Services
GLQ,Clough Global Equity Fund Clough Global Equity Fund Common Shares of Beneficial Interest,$6.82,0.015,0.22%,0.00,United States,2005,48500,Finance,Finance/Investors Services
GLU,Gabelli Global Utility Common Shares of Beneficial Ownership,$13.66,0.03,0.22%,81535324.00,United States,2004,4409,Finance,Finance/Investors Services
GLU^B,The Gabelli Global Utility and Income Trust Series B Cumulative Puttable and Callable Preferred Shares,$50.55,0.00,0.00%,,United States,,186,,
GLV,Clough Global Dividend and Income Fund Common Shares of beneficial interest,$5.655,0.015,0.266%,71872692.00,United States,2004,22933,Finance,Finance/Investors Services
GNS,Genius Group Limited Ordinary Shares,$0.28,0.0193,7.403%,20684660.00,Singapore,2022,2944036,Consumer Discretionary,Services-Misc. Amusement & Recreation
GORO,Gold Resource Corporation Common Stock,$0.4245,-0.0206,-4.628%,38540965.00,United States,,514012,Basic Materials,Precious Metals
GRF,Eagle Capital Growth Fund Inc. Common Stock,$9.35,0.00,0.00%,0.00,United States,,143,Finance,Finance/Investors Services
GRFX,Graphex Group Limited American Depositary Shares each American Depositary Share representing 20 Ordinary Shares,$0.348,0.008,2.353%,270551521.00,,2022,18366,,
GROY,Gold Royalty Corp. Common Shares,$1.43,-0.02,-1.379%,208643747.00,Canada,2021,1823925,Basic Materials,Precious Metals
GSAT,Globalstar Inc. Common Stock,$1.03,-0.05,-4.63%,1957000000.00,United States,2006,3754491,Consumer Discretionary,Telecommunications Equipment
GTE,Gran Tierra Energy Inc. Common Stock,$9.52,-0.19,-1.957%,298282392.00,Canada,,288658,Energy,Oil & Gas Production
HNRA,HNR Acquisition Corp Class A Common Stock,$2.27,0.26,12.935%,0.00,,2022,90131,Energy,Oil & Gas Production
HNW,Pioneer Diversified High Income Fund Inc.,$11.70,0.01,0.086%,0.00,United States,2007,24775,Finance,Finance/Investors Services
HUSA,Houston American Energy Corporation Common Stock,$1.21,-0.02,-1.626%,13196687.00,United States,,286328,Energy,Oil & Gas Production
HWM^,Howmet Aerospace Inc. $3.75 Preferred Stock,$55.3057,-1.6443,-2.887%,,United States,,2285,,
IAF,abrdn Australia Equity Fund Inc. Common Stock,$4.225,-0.025,-0.588%,0.00,United States,1985,29099,Finance,Finance/Investors Services
IAUX,i-80 Gold Corp. Common Shares,$1.05,0.03,2.941%,404141561.00,Canada,2022,2842552,,
IBIO,iBio Inc. Common Stock,$2.30,-0.26,-10.156%,19834455.00,United States,,127135,Health Care,Biotechnology: Pharmaceutical Preparations
IDR,Idaho Strategic Resources Inc. Common Stock,$10.10,-0.14,-1.367%,128677656.00,,2022,55878,Basic Materials,Precious Metals
IE,Ivanhoe Electric Inc. Common Stock,$9.69,-1.00,-9.355%,1165769152.00,Canada,2022,759063,Basic Materials,Metal Mining
IGC,IGC Pharma Inc. Common Stock,$0.4135,-0.0039,-0.934%,26354191.00,United States,,104391,Health Care,Biotechnology: Pharmaceutical Preparations
IHT,InnSuites Hospitality Trust Shares of Beneficial Interest,$1.8899,0.0698,3.835%,17054091.00,United States,1999,14112,Real Estate,Real Estate Investment Trusts
IMO,Imperial Oil Limited Common Stock,$64.55,0.29,0.451%,34588265634.00,Canada,1929,454571,,
INDO,Indonesia Energy Corporation Limited Ordinary Shares,$2.68,-0.017,-0.63%,27343220.00,,2019,48699,Energy,Oil & Gas Production
INFU,InfuSystems Holdings Inc. Common Stock,$6.36,-0.25,-3.782%,135437815.00,United States,,111121,Health Care,Medical/Dental Instruments
INLX,Intellinetics Inc. Common Stock,$6.4675,-0.6225,-8.78%,26604844.00,,2022,8735,Technology,EDP Services
INTT,inTest Corporation Common Stock,$9.52,0.05,0.528%,118901392.00,United States,1997,106285,Industrials,Electrical Products
INUV,Inuvo Inc.,$0.254,-0.002,-0.781%,35530536.00,United States,,173467,Consumer Discretionary,Advertising
