Symbol,Name,Last Sale,Net Change,% Change,Market Cap,Country,IPO Year,Volume,Sector,Industry
IOR,Income Opportunity Realty Investors Inc. Common Stock,$16.58,0.00,0.00%,67614997.00,United States,1987,434,Real Estate,Real Estate Investment Trusts
ISDR,Issuer Direct Corporation Common Stock,$8.80,-0.17,-1.895%,33592935.00,United States,,2388,Consumer Discretionary,Publishing
ITP,IT Tech Packaging Inc. Common Stock,$0.2341,-0.0159,-6.36%,2356432.00,China,,59844,Consumer Discretionary,Containers/Packaging
ITRG,Integra Resources Corp. Common Shares,$0.9335,0.0161,1.755%,82576198.00,,,133503,Basic Materials,Precious Metals
JOB,GEE Group Inc. Common Stock,$0.303,0.0125,4.303%,32957788.00,United States,1968,418710,Consumer Discretionary,Diversified Commercial Services
JWSM,Jaws Mustang Acquisition Corp. Class A Ordinary Shares,$11.11,-0.005,-0.045%,0.00,,2021,3902,Finance,Blank Checks
KNW,Know Labs Inc. Common Stock,$0.7181,-0.1146,-13.762%,61406286.00,,2022,108527,Industrials,Industrial Machinery/Components
KULR,KULR Technology Group Inc. Common Stock,$0.365,0.0006,0.165%,66677187.00,United States,,1729514,Technology,Electrical Products
LCTX,Lineage Cell Therapeutics Inc. Common Stock,$0.9051,-0.0143,-1.555%,170881201.00,United States,,1025859,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
LEGT,Legato Merger Corp. III Ordinary Shares,$10.11,0.00,0.00%,0.00,,2024,3850,,
LEU,Centrus Energy Corp. Class A Common Stock,$41.85,0.13,0.312%,669473613.00,United States,2014,313224,Industrials,Mining & Quarrying of Nonmetallic Minerals (No Fuels)
LGL,LGL Group Inc. (The) Common Stock,$5.07,-0.13,-2.50%,27139391.00,United States,1946,5842,Technology,Industrial Machinery/Components
LODE,Comstock Inc. Common Stock,$0.18,-0.0142,-7.312%,24884113.00,United States,,2515338,Finance,Real Estate
LPA,Logistic Properties of the Americas Ordinary Shares,$16.00,-0.47,-2.854%,507355952.00,,2024,89561,Finance,Real Estate
LPTV,Loop Media Inc. Common Stock,$0.16,-0.001,-0.621%,11387798.00,United States,2022,134320,Consumer Discretionary,Professional Services
LSF,Laird Superfood Inc. Common Stock,$4.16,-0.42,-9.17%,39984023.00,,2020,198959,Consumer Staples,Packaged Foods
LXFR,Luxfer Holdings PLC Ordinary Shares,$11.26,0.11,0.987%,302242406.00,United Kingdom,2012,138248,Industrials,Major Chemicals
MAG,MAG Silver Corporation Ordinary Shares,$12.05,-0.22,-1.793%,1243150167.00,Canada,,478788,Basic Materials,Precious Metals
MAIA,MAIA Biotechnology Inc. Common Stock,$3.78,-0.17,-4.304%,82544423.00,,2022,208158,Health Care,Biotechnology: Pharmaceutical Preparations
MGLD,The Marygold Companies Inc. Common Stock,$1.38,0.0898,6.96%,54349173.00,,2022,1188,Finance,Finance: Consumer Services
MHH,Mastech Digital Inc Common Stock,$7.60,-0.05,-0.654%,88420703.00,United States,,1138,Consumer Discretionary,Professional Services
MI,NFT Limited Class A Ordinary Share,$4.87,-0.37,-7.061%,15048339.00,,2023,4680,Consumer Discretionary,Catalog/Specialty Distribution
MITQ,Moving iMage Technologies Inc. Common Stock,$0.5807,-0.0293,-4.803%,5914644.00,United States,2021,112817,Consumer Discretionary,Industrial Machinery/Components
MLSS,Milestone Scientific Inc. Common Stock,$0.7399,0.0199,2.764%,57140786.00,United States,2015,148387,Health Care,Industrial Specialties
MMA,Alta Global Group Limited Ordinary Shares,$2.9645,-0.0205,-0.687%,30438555.00,,2024,3976,Consumer Discretionary,Other Consumer Services
MPTI,M-tron Industries Inc. Common Stock,$35.02,-0.22,-0.624%,98006237.00,,2022,28854,Technology,Industrial Machinery/Components
MPU,Mega Matrix Corp. Common Stock,$2.12,0.03,1.435%,76274592.00,United States,1998,34594,Consumer Discretionary,Transportation Services
MRT,Marti Technologies Inc. Class A Ordinary Shares,$1.7867,0.0167,0.944%,101906389.00,,2021,67254,Consumer Discretionary,Rental/Leasing Companies
MSN,Emerson Radio Corporation Common Stock,$0.4975,-0.0525,-9.545%,10468719.00,United States,1994,72582,Consumer Staples,Consumer Electronics/Appliances
MTA,Metalla Royalty & Streaming Ltd. Common Shares,$2.87,-0.05,-1.712%,262580002.00,,,299145,,
MTNB,Matinas Biopharma Holdings Inc. Common Stock,$0.1592,-0.0007,-0.438%,39929933.00,United States,2017,677256,Health Care,Biotechnology: Pharmaceutical Preparations
MWG,Multi Ways Holdings Limited Ordinary Shares,$0.399,-0.0259,-6.096%,12305160.00,,2023,1359948,Consumer Discretionary,Miscellaneous manufacturing industries
MXC,Mexco Energy Corporation Common Stock,$11.0653,-0.0347,-0.313%,23213207.00,United States,2003,370,Energy,Oil & Gas Production
MYND,Mynd.ai Inc. American Depositary Shares,$2.48,-0.05,-1.976%,113206499.00,,2017,16170,Real Estate,Other Consumer Services
MYO,Myomo Inc. Common Stock,$3.32,-0.06,-1.775%,95664595.00,United States,2017,111149,Health Care,Industrial Specialties
NAK,Northern Dynasty Minerals Ltd. Common Stock,$0.278,-0.006,-2.113%,149696887.00,Canada,,515953,,
NBH,Neuberger Berman Municipal Fund Inc. Common Stock,$10.56,0.06,0.571%,0.00,United States,2002,92419,Finance,Finance/Investors Services
NBY,NovaBay Pharmaceuticals Inc. Common Stock,$2.57,0.06,2.39%,2959908.00,United States,2007,834486,Health Care,Biotechnology: Pharmaceutical Preparations
NCL,Northann Corp. Common Stock,$0.2391,-0.0159,-6.235%,5556684.00,,2023,275433,Industrials,Plastic Products
NEN,New England Realty Associates Limited Partnership Class A Depositary Receipts Evidencing Units of Limited Partnership,$70.76,0.00,0.00%,8212830.00,United States,,6,Finance,Real Estate
NEWP,New Pacific Metals Corp. Common Shares,$1.65,-0.04,-2.367%,282586620.00,,2021,299336,,
NFGC,New Found Gold Corp Common Shares,$3.16,0.02,0.637%,604664448.00,,2021,291814,Basic Materials,Precious Metals
NG,Novagold Resources Inc.,$3.21,-0.29,-8.286%,1073331626.00,Canada,2003,1789903,Basic Materials,Precious Metals
NGD,New Gold Inc.,$1.92,-0.05,-2.538%,1316352000.00,Canada,,6055028,Basic Materials,Metal Mining
NHC,National HealthCare Corporation Common Stock,$104.92,1.72,1.667%,1615739042.00,United States,1986,38105,Health Care,Hospital/Nursing Management
NHS,Neuberger Berman High Yield Strategies Fund,$8.00,-0.02,-0.249%,0.00,United States,,78888,Finance,Trusts Except Educational Religious and Charitable
NML,Neuberger Berman Energy Infrastructure and Income Fund Inc. Common Stock,$7.61,-0.07,-0.911%,0.00,,2013,264888,Finance,Finance/Investors Services
NNVC,NanoViricides Inc. Common Stock,$1.90,0.00,0.00%,22446600.00,United States,,233305,Health Care,Biotechnology: Pharmaceutical Preparations
NRO,Neuberger Berman Real Estate Securities Income Fund Inc.,$3.26,-0.08,-2.395%,0.00,United States,2003,132631,Finance,Finance/Investors Services
NRXS,Neuraxis Inc. Common Stock,$2.79,-0.18,-6.061%,18547808.00,,2023,12948,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
NTIP,Network-1 Technologies Inc. Common Stock,$1.62,-0.02,-1.22%,37931446.00,United States,,8573,Miscellaneous,Multi-Sector Companies
OBE,Obsidian Energy Ltd. Common Shares,$7.06,-0.02,-0.282%,540703973.00,Canada,2022,236369,Energy,Oil & Gas Production
OGEN,Oragenics Inc. Common Stock,$1.62,-0.02,-1.22%,7258723.00,United States,,11835,Health Care,Biotechnology: Pharmaceutical Preparations
OPTT,Ocean Power Technologies Inc. Common Stock,$0.1311,-0.0053,-3.886%,7795674.00,United States,2007,2416436,Utilities,Electric Utilities: Central
ORLA,Orla Mining Ltd. Common Shares,$3.85,-0.08,-2.036%,1225298879.00,,2020,349630,Basic Materials,Precious Metals
OZ,Belpointe PREP LLC Class A Units,$57.01,-1.24,-2.129%,212744445.00,,,3818,Real Estate,Real Estate Investment Trusts
PAPL,Pineapple Financial Inc. Common Stock,$0.9622,-0.0778,-7.481%,6910500.00,,2023,51295,Finance,Finance: Consumer Services
PCG^A,Pacific Gas & Electric Co. 6% Preferred Stock,$23.08,-0.06,-0.259%,,United States,,5786,,
PCG^B,Pacific Gas & Electric Co. 5 1/2% Preferred Stock,$20.40,0.31,1.543%,,United States,,1014,,
PCG^C,Pacific Gas & Electric Co. 5% 1st Preferred Stock,$18.90,0.15,0.80%,,United States,,1038,,
PCG^D,Pacific Gas & Electric Co. 5% 1st  Red. Preferred Stock,$18.70,0.36,1.963%,,United States,,6046,,
PCG^E,Pacific Gas & Electric Co. 5% 1st A Preferred Stock,$18.8228,0.2228,1.198%,,United States,,310,,
PCG^G,Pacific Gas & Electric Co. 4.80% 1st Preferred Stock,$17.15,0.00,0.00%,,United States,,30,,
PCG^H,Pacific Gas & Electric Co. 4.50% 1st Preferred Stock,$17.4999,0.00,0.00%,,United States,,16,,
PCG^I,Pacific Gas & Electric Co. 4.36% 1st Preferred Stock,$16.15,0.00,0.00%,,United States,,56,,
PED,Pedevco Corp. Common Stock,$0.88,-0.004,-0.452%,78632635.00,United States,,30632,Energy,Oil & Gas Production
PHGE,BiomX Inc. COmmon Stock,$0.33,-0.01,-2.941%,23036125.00,,2019,134610,Health Care,Biotechnology: Pharmaceutical Preparations
PLAG,Planet Green Holdings Corp. Common Stock,$1.60,-0.05,-3.03%,11533109.00,China,,3708,Consumer Staples,Packaged Foods
PLG,Platinum Group Metals Ltd. Ordinary Shares (Canada),$1.70,0.03,1.796%,174216252.00,Canada,,422233,Basic Materials,Precious Metals
PLX,Protalix BioTherapeutics Inc. (DE) Common Stock,$1.11,-0.03,-2.632%,81380853.00,Israel,,780598,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
PMNT,Perfect Moment Ltd. Common Stock,$2.40,-0.26,-9.774%,37568278.00,United Kingdom,2024,7105,,
PRK,Park National Corporation Common Stock,$135.86,1.60,1.192%,2194074195.00,United States,1994,31379,Finance,Major Banks
PTN,Palatin Technologies Inc. Common Stock,$1.82,-0.002,-0.11%,29368685.00,United States,1999,66366,Health Care,Biotechnology: Pharmaceutical Preparations
PW,Power REIT (MD) Common Stock,$0.65,-0.0627,-8.798%,2203280.00,United States,1998,67282,Real Estate,Real Estate Investment Trusts
PW^A,Power REIT 7.75% Series A Cumulative Perpetual Preferred Stock,$2.82,0.01,0.356%,,United States,,694,,
PZG,Paramount Gold Nevada Corp. Common Stock,$0.44,-0.0109,-2.417%,27996501.00,United States,2015,165099,Basic Materials,Precious Metals
RCG,RENN Fund Inc Common Stock,$1.67,-0.05,-2.907%,0.00,United States,,12074,Finance,Investment Managers
REI,Ring Energy Inc. Common Stock,$1.61,-0.01,-0.617%,318679295.00,United States,,1344570,Energy,Oil & Gas Production
REPX,Riley Exploration Permian Inc. Common Stock,$27.04,0.47,1.769%,582544298.00,United States,1999,102070,Energy,Oil & Gas Production
RHE,Regional Health Properties Inc. Common Stock,$2.21,-0.0757,-3.312%,4064252.00,,2017,5336,Real Estate,Real Estate
RHE^A,Regional Health Properties Inc. 10.875% Series A Cumulative Redeemable Preferred Stock,$0.56,-0.13,-18.841%,,,,1307,,
RLGT,Radiant Logistics Inc. Common Stock,$5.29,0.06,1.147%,248641326.00,United States,,60926,Consumer Discretionary,Oil Refining/Marketing
RVP,Retractable Technologies Inc. Common Stock,$1.14,0.00,0.00%,34128361.00,United States,2001,95269,Health Care,Medical/Dental Instruments
RYDE,Ryde Group Ltd. Class A Ordinary Shares,$4.77,-0.60,-11.173%,92453433.00,,2024,336274,Consumer Discretionary,Business Services
SACC,Sachem Capital Corp. 6.875% Notes due 2024,$24.62,0.00,0.00%,1168121776.00,United States,2019,16382,Real Estate,Real Estate Investment Trusts
SACH,Sachem Capital Corp. Common Shares,$2.78,-0.01,-0.358%,131900022.00,United States,2017,326153,Real Estate,Real Estate Investment Trusts
SACH^A,Sachem Capital Corp. 7.75% Series A Cumulative Redeemable Preferred Stock,$22.51,0.02,0.089%,,United States,,6845,,
SATX,SatixFy Communications Ltd. Ordinary Share,$0.6101,0.0001,0.016%,50707969.00,,2022,306086,Technology,Radio And Television Broadcasting And Communications Equipment
SBEV,Splash Beverage Group Inc. (NV) Common Stock,$0.2284,-0.0014,-0.609%,10884650.00,,2021,391948,Consumer Staples,Beverages (Production/Distribution)
SCCB,Sachem Capital Corp. 7.125% Notes due 2024,$24.94,0.00,0.00%,1183304512.00,United States,2019,13072,Real Estate,Real Estate Investment Trusts
SCCC,Sachem Capital Corp. 7.75% Notes due 2025,$24.71,0.26,1.063%,1172391920.00,United States,2020,1899,Real Estate,Real Estate Investment Trusts
SCCD,Sachem Capital Corp. 6.00% Notes due 2026,$21.685,-0.145,-0.664%,1028867616.00,United States,,6516,Real Estate,Real Estate Investment Trusts
SCCE,Sachem Capital Corp. 6.00% Notes due 2027,$21.4201,-0.3799,-1.743%,1016299157.00,United States,2022,10814,Real Estate,Real Estate Investment Trusts
SCCF,Sachem Capital Corp. 7.125% Notes due 2027,$22.47,-0.0099,-0.044%,1066112766.00,United States,2022,3247,Real Estate,Real Estate Investment Trusts
SCCG,Sachem Capital Corp. 8.00% Notes due 2027,$23.38,-0.10,-0.426%,1109288672.00,United States,2022,2216,Real Estate,Real Estate Investment Trusts
SDPI,Superior Drilling Products Inc. Common Stock,$1.18,0.00,0.00%,35861668.00,,2014,27323,Industrials,Metal Fabrications
SEB,Seaboard Corporation Common Stock,$3068.00,-24.93,-0.806%,2979196740.00,United States,1996,2248,Industrials,Farming/Seeds/Milling
SENS,Senseonics Holdings Inc. Common Stock,$0.38,-0.0114,-2.913%,201736840.00,United States,,3081310,Industrials,Industrial Machinery/Components
SER,Serina Therapeutics Inc. Common Stock,$12.80,1.79,16.258%,107697779.00,,2018,19846,Health Care,Biotechnology: Pharmaceutical Preparations
SGE,Strong Global Entertainment Inc. Class A Common Voting Shares,$1.43,-0.115,-7.443%,11265314.00,,2023,8363,,
SGN,Signing Day Sports Inc. Common Stock,$0.2805,-0.0128,-4.364%,4314554.00,,2023,92188,Technology,EDP Services
SIF,SIFCO Industries Inc. Common Stock,$3.17,0.03,0.955%,19621400.00,United States,1969,5491,Industrials,Office Equipment/Supplies/Services
SILV,SilverCrest Metals Inc. Common Shares,$8.04,-0.08,-0.985%,1183974999.00,Canada,2018,1200206,Basic Materials,Precious Metals
SIM,Grupo Simec S.A.B. de C.V. American Depositary Shares,$30.00,0.00,0.00%,4621358880.00,Mexico,1998,79,Industrials,Steel/Iron Ore
SKYH,Sky Harbour Group Corporation Class A Common Stock,$9.60,0.36,3.896%,640178918.00,United States,2022,59535,Finance,Real Estate
SLI,Standard Lithium Ltd. Common Shares,$1.35,0.00,0.00%,233350466.00,Canada,2021,805749,Industrials,Major Chemicals
SLND,Southland Holdings Inc. Common Stock,$5.50,0.12,2.23%,264141284.00,United States,,27429,Industrials,Military/Government/Technical
SLSR,Solaris Resources Inc. Common Shares,$2.91,-0.17,-5.519%,438917159.00,,2024,41856,,
SOAR,Volato Group Inc. Class A Common Stock,$0.66,-0.01,-1.493%,19310337.00,,2022,1593581,Consumer Discretionary,Transportation Services
SSY,SunLink Health Systems Inc. Common Stock,$0.7401,0.0001,0.014%,5210750.00,United States,1996,1362,Health Care,Hospital/Nursing Management
STRW,Strawberry Fields REIT Inc. Common Stock,$10.93,-0.04,-0.365%,70346879.00,,2023,17672,Real Estate,Real Estate Investment Trusts
STXS,Stereotaxis Inc. Common Stock,$1.87,0.01,0.538%,154542864.00,United States,,210660,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus
SVM,Silvercorp Metals Inc. Common Shares,$3.40,-0.08,-2.299%,603902417.00,Canada,,1041597,,
SVT,Servotronics Inc. Common Stock,$12.075,0.275,2.331%,30775226.00,United States,1970,2346,Consumer Discretionary,Industrial Machinery/Components
SYNX,Silynxcom Ltd. Ordinary Shares,$3.2241,0.6341,24.483%,16926525.00,,2024,93885,Consumer Staples,Consumer Electronics/Appliances
TELL,Tellurian Inc. Common Stock,$0.6285,-0.073,-10.406%,525568499.00,United States,,40738291,Finance,Investment Bankers/Brokers/Service
TELZ,Tellurian Inc. 8.25% Senior Notes due 2028,$16.80,0.10,0.599%,14048609047.00,United States,,13481,Energy,Oil & Gas Production
TGB,Taseko Mines Ltd. Common Stock,$2.50,0.18,7.759%,728745658.00,Canada,,6638332,Basic Materials,Precious Metals
THM,International Tower Hill Mines Ltd. Ordinary Shares (Canada),$0.5367,-0.0008,-0.149%,107175470.00,Canada,,57739,,
TMP,Tompkins Financial Corporation Common Stock,$44.92,0.89,2.021%,647049511.00,United States,1997,59280,Finance,Major Banks
TMQ,Trilogy Metals Inc. Common Stock,$0.46,0.0095,2.109%,73676722.00,Canada,,65495,Basic Materials,Precious Metals
TOON,Kartoon Studios Inc. Common Stock,$1.01,-0.02,-1.942%,39781375.00,United States,,84787,Consumer Discretionary,Movies/Entertainment
TOPS,TOP Ships Inc. Common Stock,$11.96,-0.29,-2.367%,55329316.00,Greece,,8723,Consumer Discretionary,Marine Transportation
TOVX,Theriva Biologics Inc. Common Stock,$0.2475,-0.0095,-3.696%,4276149.00,United States,,63637,Health Care,Biotechnology: Pharmaceutical Preparations
TPET,Trio Petroleum Corp. Common Stock,$0.3019,-0.0081,-2.613%,11143679.00,,2023,2070312,Energy,Oil & Gas Production
TPHS,Trinity Place Holdings Inc. Common Stock,$0.128,-0.0073,-5.395%,8197949.00,,,1904389,Real Estate,Building operators
TRT,Trio-Tech International Common Stock,$6.25,-0.0299,-0.476%,26564406.00,United States,1998,5012,Technology,Industrial Machinery/Components
TRX,TRX Gold Corporation Common Stock,$0.408,-0.0144,-3.409%,113869019.00,Canada,,408483,Basic Materials,Precious Metals
UAMY,United States Antimony Corporation Common Stock,$0.3657,0.0005,0.137%,39656136.00,United States,,250826,,
UAVS,AgEagle Aerial Systems Inc. Common Stock,$0.5273,-0.0936,-15.075%,6296714.00,United States,,753360,Industrials,Aerospace
UEC,Uranium Energy Corp. Common Stock,$6.06,0.02,0.331%,2477196807.00,Canada,,5222757,Basic Materials,Other Metals and Minerals
UMAC,Unusual Machines Inc. Common Stock,$1.49,0.01,0.676%,13906678.00,,2024,47392,Technology,Radio And Television Broadcasting And Communications Equipment
URG,Ur Energy Inc Common Shares (Canada),$1.45,-0.03,-2.027%,408358170.00,Canada,,2952341,Basic Materials,Precious Metals
USAS,Americas Gold and Silver Corporation Common Shares no par value,$0.2689,-0.0034,-1.249%,67499259.00,Canada,2017,395305,Basic Materials,Metal Mining
UTG,Reaves Utility Income Fund Common Shares of Beneficial Interest,$27.64,-0.56,-1.986%,0.00,United States,2004,380268,Finance,Investment Managers
UUU,Universal Security Instruments Inc. Common Stock,$1.59,-0.02,-1.242%,3677490.00,United States,2003,11734,Technology,Electronic Components
UUUU,Energy Fuels Inc Ordinary Shares (Canada),$5.99,-0.03,-0.498%,980274863.00,Canada,,1938414,,
VCXB,10X Capital Venture Acquisition Corp. III Class A Ordinary Shares,$10.99,0.00,0.00%,167148998.00,,2022,86,Finance,Blank Checks
VFL,abrdn National Municipal Income Fund Common Stock,$10.50,-0.015,-0.143%,0.00,United States,1993,63776,Finance,Finance/Investors Services
VGZ,Vista Gold Corp Common Stock,$0.4686,-0.0001,-0.021%,57053945.00,United States,1986,183538,,
VINE,Fresh Vine Wine Inc. Common Stock,$0.447,0.0067,1.522%,7141373.00,,2021,94341,Consumer Staples,Beverages (Production/Distribution)
VKI,Invesco Advantage Municipal Income Trust II Common Shares of Beneficial Interest (DE),$8.87,-0.01,-0.113%,393881397.00,United States,1993,162702,Finance,Finance Companies
VNRX,VolitionRX Limited Common Stock,$0.689,-0.019,-2.684%,57059618.00,Singapore,2015,65330,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
VTAK,Catheter Precision Inc. Common Stock,$0.52,-0.0225,-4.147%,3938170.00,,2018,200897,Health Care,Medical/Dental Instruments
VZLA,Vizsla Silver Corp. Common Shares,$1.65,-0.01,-0.602%,387909646.00,Canada,2022,907658,Basic Materials,Precious Metals
WRN,Western Copper and Gold Corporation Common Stock,$1.23,0.01,0.82%,241337831.00,Canada,2011,123305,Basic Materials,Metal Mining
WWR,Westwater Resources Inc. Common Stock,$0.4874,-0.0046,-0.935%,27872888.00,United States,,138899,Basic Materials,Other Metals and Minerals
WYY,WidePoint Corporation Common Stock,$2.97,-0.05,-1.656%,27655930.00,United States,,19253,Technology,EDP Services
XPL,Solitario Resources Corp. Common Stock,$0.8087,-0.0213,-2.566%,65737336.00,United States,,115297,Basic Materials,Precious Metals
XTNT,Xtant Medical Holdings Inc. Common Stock,$0.75,-0.001,-0.133%,97662406.00,United States,,7293,Health Care,Biotechnology: Biological Products (No Diagnostic Substances)
YCBD,cbdMD Inc. Common Stock,$0.635,-0.014,-2.157%,2456867.00,United States,2017,4634,Consumer Discretionary,Package Goods/Cosmetics
YCBD^A,cbdMD Inc. 8.0% Series A Cumulative Convertible Preferred Stock,$0.5878,-0.0002,-0.034%,,United States,,1200,,
ZDGE,Zedge Inc. Class B Common Stock ,$2.68,-0.29,-9.764%,38781849.00,,2016,89314,Technology,Computer Software: Prepackaged Software
ZOM,Zomedica Corp. Common Shares,$0.1487,-0.0023,-1.523%,145718516.00,United States,2017,2332393,Health Care,Pharmaceuticals and Biotechnology
ZONE,CleanCore Solutions Inc. Class B Common Stock,$2.7056,-0.2344,-7.973%,21525534.00,,2024,1562,Industrials,Industrial Machinery/Components
